,temperature,ph,rainfall,label,land_type
0,20.87974371,6.502985292000001,202.9355362,rice,clay soil
1,21.77046169,7.038096361,226.6555374,rice,clay soil
2,23.00445915,7.840207144,263.96424759999996,rice,clay soil
3,26.49109635,6.980400905,242.86403419999996,rice,clay soil
4,20.13017482,7.628472891,262.7173405,rice,clay soil
5,23.05804872,7.073453503,251.05499980000002,rice,clay soil
6,22.70883798,5.70080568,271.3248604,rice,clay soil
7,20.27774362,5.718627177999999,241.97419490000001,rice,clay soil
8,24.51588066,6.685346424,230.4462359,rice,clay soil
9,23.22397386,6.336253525,221.2091958,rice,clay soil
10,26.52723513,5.386167788,264.6148697,rice,clay soil
11,23.97898217,7.50283396,250.0832336,rice,clay soil
12,26.80079604,5.108681786,284.4364567,rice,clay soil
13,24.01497622,6.98435366,185.2773389,rice,clay soil
14,25.66585205,6.94801983,209.58697080000002,rice,clay soil
15,24.28209415,7.042299068999999,231.0863347,rice,clay soil
16,21.58711777,6.2490506560000005,276.65524589999995,rice,clay soil
17,23.79391957,6.970859754,206.2611855,rice,clay soil
18,21.8652524,5.953933276,224.55501690000003,rice,clay soil
19,23.57943626,5.85393208,291.29866180000005,rice,clay soil
20,21.32504158,6.442475375,185.49747319999997,rice,clay soil
21,25.15745531,5.070175667,231.38431630000002,rice,clay soil
22,21.94766735,6.012632591,213.3560921,rice,clay soil
23,21.0525355,6.254028451,233.1075816,rice,clay soil
24,23.48381344,7.375482851,224.0581164,rice,clay soil
25,25.0756354,7.778915154,257.0038865,rice,clay soil
26,26.35927159,6.2865001760000006,271.35861370000003,rice,clay soil
27,24.52922681,7.070959995,260.2634026,rice,clay soil
28,20.77576147,6.244841491,240.08106469999998,rice,clay soil
29,22.30157427,6.043304899,197.97912150000002,rice,clay soil
30,21.44653958,5.824709117,272.2017204,rice,clay soil
31,22.17931888,6.3573893660000005,200.0882787,rice,clay soil
32,24.52783742,6.364134967999999,224.67572310000003,rice,clay soil
33,20.26707606,5.01450727,270.4417274,rice,clay soil
34,25.7354293,6.149410611,233.1321372,rice,clay soil
35,26.79533926,5.950660556,193.34739869999999,rice,clay soil
36,26.75754171,5.960370061,272.29990560000005,rice,clay soil
37,23.86330467,5.561398642,285.2493645,rice,clay soil
38,21.01944696,7.416245107000001,298.40184710000005,rice,clay soil
39,24.17298839,5.583370042,257.0343554,rice,clay soil
40,22.78133816,6.430010215,248.7183228,rice,clay soil
41,25.62980105,5.534878156,209.9001977,rice,clay soil
42,25.59704938,6.903985986,200.834898,rice,clay soil
43,23.83067496,6.271478837999999,298.5601175,rice,clay soil
44,26.31355498,7.224285503,265.5355937,rice,clay soil
45,24.8972823,6.13428721,183.6793207,rice,clay soil
46,24.958779,5.206373153,196.95600080000003,rice,clay soil
47,23.24113501,7.782051312999999,233.0453455,rice,clay soil
48,21.66628296,7.062779015,210.8142087,rice,clay soil
49,24.63544858,7.730367824,253.7202781,rice,clay soil
50,23.43121862,5.286203711000001,219.9048349,rice,clay soil
51,20.0454142,6.766240045,208.5810155,rice,clay soil
52,23.85724032,7.382762603,195.0948311,rice,clay soil
53,21.97199397,5.658169482000001,227.3637009,rice,clay soil
54,26.22916897,5.543360237999999,286.5083725,rice,clay soil
55,23.44676801,6.215109715,283.9338466,rice,clay soil
56,25.65553461,7.120272972,217.37885830000002,rice,clay soil
57,24.44345477,5.950647577000001,267.97619480000003,rice,clay soil
58,20.2801937,7.236705436,191.95357380000002,rice,clay soil
59,21.7238313,6.501697816,277.9626192,rice,clay soil
60,20.41447029,7.592490617,245.1511304,rice,clay soil
61,25.75528612,5.875345751,245.6626799,rice,clay soil
62,20.61521424,6.932400225,279.54517169999997,rice,clay soil
63,21.84106875,6.946209881000001,202.38383190000002,rice,clay soil
64,20.08369642,5.739175027000001,263.6372176,rice,clay soil
65,24.45802087,6.738652179,182.5616319,rice,clay soil
66,21.14347496,5.5948196260000005,198.67309419999998,rice,clay soil
67,25.78720567,6.946636369,243.5120414,rice,clay soil
68,23.64124821,5.012139669,263.1103304,rice,clay soil
